Airport,Popularity,346 Airports,Airport,Popularity,Actual Frequency %,High to Low,,Popularity,Actual Frequency %,,,Low to High,Airport,Popularity,Actual Frequency %
ORD,12449354,1,ORD,12449354,0.002890173,,,2,0.002890173,,,1,BFI,2,0.002890173
ATL,11540422,2,ATL,11540422,0.005780347,,,3,0.005780347,,,2,MKC,3,0.005780347
DFW,10799303,3,DFW,10799303,0.00867052,,,3,0.00867052,,,3,BFF,3,0.00867052
LAX,7723596,4,LAX,7723596,0.011560694,,,4,0.011560694,,,4,GLH,4,0.011560694
PHX,6585534,5,PHX,6585534,0.014450867,,,8,0.014450867,,,5,PIR,8,0.014450867
DEN,6273787,6,DEN,6273787,0.01734104,,,8,0.01734104,,,6,FMN,8,0.01734104
DTW,5636622,7,DTW,5636622,0.020231214,,,13,0.020231214,,,7,PVU,13,0.020231214
IAH,5480734,8,IAH,5480734,0.023121387,,,14,0.023121387,,,8,CYS,14,0.023121387
MSP,5199213,9,MSP,5199213,0.026011561,,,14,0.026011561,,,9,CKB,14,0.026011561
SFO,5171023,10,SFO,5171023,0.028901734,,,25,0.028901734,,,10,OGD,25,0.028901734
EWR,5136971,11,EWR,5136971,0.031791908,,,92,0.031791908,,,11,RDR,92,0.031791908
STL,5125336,12,STL,5125336,0.034682081,,,178,0.034682081,,,12,MIB,178,0.034682081
LAS,4962958,13,LAS,4962958,0.037572254,,,239,0.037572254,,,13,MAZ,239,0.037572254
CLT,4824711,14,CLT,4824711,0.040462428,,,255,0.040462428,,,14,MTH,255,0.040462428
LGA,4337167,15,LGA,4337167,0.043352601,,,404,0.043352601,,,15,BJI,404,0.043352601
BOS,4311116,16,BOS,4311116,0.046242775,,,542,0.046242775,,,16,LMT,542,0.046242775
PHL,4079651,17,PHL,4079651,0.049132948,,,543,0.049132948,,,17,OTH,543,0.049132948
PIT,3936220,18,PIT,3936220,0.052023121,,,577,0.052023121,,,18,MKK,577,0.052023121
SLC,3815114,19,SLC,3815114,0.054913295,,,579,0.054913295,,,19,LNY,579,0.054913295
SEA,3736761,20,SEA,3736761,0.057803468,,,580,0.057803468,,,20,INL,580,0.057803468
MCO,3721849,21,MCO,3721849,0.060693642,,,636,0.060693642,,,21,SOP,636,0.060693642
CVG,3684615,22,CVG,3684615,0.063583815,,,782,0.063583815,,,22,RHI,782,0.063583815
DCA,3464017,23,DCA,3464017,0.066473988,,,788,0.066473988,,,23,MKG,788,0.066473988
