route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_deptime,second_depdate,second_delay,total_delay
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,AA455,4/5/08,1522,,
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA943,4/5/08,1506,12,-3
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,AA1345,4/5/08,1404,-13,-28
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,AA1407,4/5/08,1213,-10,-25
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,AA1407,4/5/08,1213,-10,-22
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,AA1345,4/5/08,1404,-13,-25
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,UA127,4/5/08,1847,20,8
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,UA129,4/5/08,2102,12,0
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,UA121,4/5/08,1219,-3,-15
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,UA111,4/5/08,1208,38,26
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,AA455,4/5/08,1522,,
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,AA607,4/5/08,1948,-6,-21
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,AA607,4/5/08,1948,-6,-18
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,AA889,4/5/08,1815,-8,-20
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,AA557,4/5/08,1641,6,-6
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,UA943,4/5/08,1506,12,0
CMI_ORD_LAX,CMI,ORD,LAX,MQ4374,4/3/08,557,-12,UA941,4/5/08,1712,19,7
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,UA941,4/5/08,1712,19,11
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,UA943,4/5/08,1506,12,4
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,UA129,4/5/08,2102,12,4
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,UA111,4/5/08,1208,38,30
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,UA121,4/5/08,1219,-3,-11
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,AA557,4/5/08,1641,6,-9
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,UA127,4/5/08,1847,20,12
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,AA1407,4/5/08,1213,-10,-18
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,AA1345,4/5/08,1404,-13,-21
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,AA455,4/5/08,1522,,
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,AA889,4/5/08,1815,-8,-16
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,AA607,4/5/08,1948,-6,-14
CMI_ORD_LAX,CMI,ORD,LAX,MQ4373,4/3/08,908,-8,AA557,4/5/08,1641,6,-2
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,AA455,4/5/08,1522,,
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,AA607,4/5/08,1948,-6,-10
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,AA889,4/5/08,1815,-8,-12
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,AA889,4/5/08,1815,-8,-23
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,AA557,4/5/08,1641,6,2
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,UA127,4/5/08,1847,20,16
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,UA129,4/5/08,2102,12,8
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,UA111,4/5/08,1208,38,34
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,UA121,4/5/08,1219,-3,-7
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,UA943,4/5/08,1506,12,8
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,UA941,4/5/08,1712,19,15
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,AA1407,4/5/08,1213,-10,-14
CMI_ORD_LAX,CMI,ORD,LAX,MQ4278,4/3/08,706,-4,AA1345,4/5/08,1404,-13,-17
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA129,4/5/08,2102,12,-3
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA111,4/5/08,1208,38,23
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA127,4/5/08,1847,20,5
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA121,4/5/08,1219,-3,-18
CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA941,4/5/08,1712,19,4
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,OH5366,1/3/08,1736,8,4
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,B6916,1/3/08,1603,8,16
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,B6918,1/3/08,1853,-14,-6
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,MQ4138,1/3/08,1425,33,41
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,OH5366,1/3/08,1736,8,16
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,OH5466,1/3/08,1335,240,248
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,OH5366,1/3/08,1736,8,17
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,OH5366,1/3/08,1736,8,17
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,OH5466,1/3/08,1335,240,249
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,OH5466,1/3/08,1335,240,249
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,MQ4138,1/3/08,1425,33,42
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,OH5466,1/3/08,1335,240,236
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,MQ4138,1/3/08,1425,33,42
