rank,route,second_delay,first_delay,secondflight,total_delay,second_deptime,depdate,firstflight,second_depdate,dest,origin,layover,deptime
1,CMI_ORD_LAX,-23,-14,1230,-37,3/6/08,3/4/08,MQ4401,UA945,LAX,CMI,ORD,807
10,CMI_ORD_LAX,6,-14,1515,-8,3/6/08,3/4/08,MQ4401,UA121,LAX,CMI,ORD,807
11,CMI_ORD_LAX,29,-14,1840,15,3/6/08,3/4/08,MQ4278,AA889,LAX,CMI,ORD,710
12,CMI_ORD_LAX,-22,-14,1952,-36,3/6/08,3/4/08,MQ4401,AA607,LAX,CMI,ORD,807
13,CMI_ORD_LAX,29,-14,1840,15,3/6/08,3/4/08,MQ4401,AA889,LAX,CMI,ORD,807
14,CMI_ORD_LAX,-22,-14,1952,-36,3/6/08,3/4/08,MQ4278,AA607,LAX,CMI,ORD,710
15,CMI_ORD_LAX,-10,-14,1642,-24,3/6/08,3/4/08,MQ4278,AA557,LAX,CMI,ORD,710
16,CMI_ORD_LAX,12,-14,1521,-2,3/6/08,3/4/08,MQ4278,AA455,LAX,CMI,ORD,710
17,CMI_ORD_LAX,-10,-14,1642,-24,3/6/08,3/4/08,MQ4401,AA557,LAX,CMI,ORD,807
18,CMI_ORD_LAX,12,-14,1521,-2,3/6/08,3/4/08,MQ4401,AA455,LAX,CMI,ORD,807
19,CMI_ORD_LAX,-23,-14,1209,-37,3/6/08,3/4/08,MQ4401,AA1407,LAX,CMI,ORD,807
2,CMI_ORD_LAX,-17,-14,1702,-31,3/6/08,3/4/08,MQ4278,UA943,LAX,CMI,ORD,710
20,CMI_ORD_LAX,-23,-14,1209,-37,3/6/08,3/4/08,MQ4278,AA1407,LAX,CMI,ORD,710
21,CMI_ORD_LAX,-25,-14,1401,-39,3/6/08,3/4/08,MQ4278,AA1345,LAX,CMI,ORD,710
22,CMI_ORD_LAX,-25,-14,1401,-39,3/6/08,3/4/08,MQ4401,AA1345,LAX,CMI,ORD,807
23,CMI_ORD_LAX,-23,-6,1209,-29,3/6/08,3/4/08,MQ4374,AA1407,LAX,CMI,ORD,600
24,CMI_ORD_LAX,-25,-6,1401,-31,3/6/08,3/4/08,MQ4374,AA1345,LAX,CMI,ORD,600
25,CMI_ORD_LAX,5,-6,1847,-1,3/6/08,3/4/08,MQ4374,UA127,LAX,CMI,ORD,600
26,CMI_ORD_LAX,6,-6,1515,0,3/6/08,3/4/08,MQ4374,UA121,LAX,CMI,ORD,600
27,CMI_ORD_LAX,9,-6,2047,3,3/6/08,3/4/08,MQ4374,UA129,LAX,CMI,ORD,600
28,CMI_ORD_LAX,-23,-6,1230,-29,3/6/08,3/4/08,MQ4374,UA945,LAX,CMI,ORD,600
29,CMI_ORD_LAX,-17,-6,1702,-23,3/6/08,3/4/08,MQ4374,UA943,LAX,CMI,ORD,600
3,CMI_ORD_LAX,-23,-14,1230,-37,3/6/08,3/4/08,MQ4278,UA945,LAX,CMI,ORD,710
30,CMI_ORD_LAX,29,-6,1840,23,3/6/08,3/4/08,MQ4374,AA889,LAX,CMI,ORD,600
31,CMI_ORD_LAX,12,-6,1521,6,3/6/08,3/4/08,MQ4374,AA455,LAX,CMI,ORD,600
32,CMI_ORD_LAX,-10,-6,1642,-16,3/6/08,3/4/08,MQ4374,AA557,LAX,CMI,ORD,600
33,CMI_ORD_LAX,-22,-6,1952,-28,3/6/08,3/4/08,MQ4374,AA607,LAX,CMI,ORD,600
34,CMI_ORD_LAX,29,6,1840,35,3/6/08,3/4/08,MQ4373,AA889,LAX,CMI,ORD,905
35,CMI_ORD_LAX,-10,6,1642,-4,3/6/08,3/4/08,MQ4373,AA557,LAX,CMI,ORD,905
36,CMI_ORD_LAX,-22,6,1952,-16,3/6/08,3/4/08,MQ4373,AA607,LAX,CMI,ORD,905
37,CMI_ORD_LAX,12,6,1521,18,3/6/08,3/4/08,MQ4373,AA455,LAX,CMI,ORD,905
38,CMI_ORD_LAX,9,6,2047,15,3/6/08,3/4/08,MQ4373,UA129,LAX,CMI,ORD,905
39,CMI_ORD_LAX,5,6,1847,11,3/6/08,3/4/08,MQ4373,UA127,LAX,CMI,ORD,905
4,CMI_ORD_LAX,-17,-14,1702,-31,3/6/08,3/4/08,MQ4401,UA943,LAX,CMI,ORD,807
40,CMI_ORD_LAX,6,6,1515,12,3/6/08,3/4/08,MQ4373,UA121,LAX,CMI,ORD,905
41,CMI_ORD_LAX,-25,6,1401,-19,3/6/08,3/4/08,MQ4373,AA1345,LAX,CMI,ORD,905
42,CMI_ORD_LAX,-23,6,1209,-17,3/6/08,3/4/08,MQ4373,AA1407,LAX,CMI,ORD,905
43,CMI_ORD_LAX,-23,6,1230,-17,3/6/08,3/4/08,MQ4373,UA945,LAX,CMI,ORD,905
44,CMI_ORD_LAX,-17,6,1702,-11,3/6/08,3/4/08,MQ4373,UA943,LAX,CMI,ORD,905
5,CMI_ORD_LAX,9,-14,2047,-5,3/6/08,3/4/08,MQ4401,UA129,LAX,CMI,ORD,807
6,CMI_ORD_LAX,5,-14,1847,-9,3/6/08,3/4/08,MQ4278,UA127,LAX,CMI,ORD,710
7,CMI_ORD_LAX,5,-14,1847,-9,3/6/08,3/4/08,MQ4401,UA127,LAX,CMI,ORD,807
8,CMI_ORD_LAX,9,-14,2047,-5,3/6/08,3/4/08,MQ4278,UA129,LAX,CMI,ORD,710
9,CMI_ORD_LAX,6,-14,1515,-8,3/6/08,3/4/08,MQ4278,UA121,LAX,CMI,ORD,710
1,LAX_ORD_JFK,8,-4,1736,4,1/3/08,1/1/08,UA944,OH5366,JFK,LAX,ORD,700
10,LAX_ORD_JFK,8,8,1603,16,1/3/08,1/1/08,UA106,B6916,JFK,LAX,ORD,856
11,LAX_ORD_JFK,-14,8,1853,-6,1/3/08,1/1/08,UA106,B6918,JFK,LAX,ORD,856
12,LAX_ORD_JFK,33,8,1425,41,1/3/08,1/1/08,UA106,MQ4138,JFK,LAX,ORD,856
13,LAX_ORD_JFK,8,8,1736,16,1/3/08,1/1/08,UA106,OH5366,JFK,LAX,ORD,856
14,LAX_ORD_JFK,240,8,1335,248,1/3/08,1/1/08,UA106,OH5466,JFK,LAX,ORD,856
15,LAX_ORD_JFK,8,9,1736,17,1/3/08,1/1/08,AA764,OH5366,JFK,LAX,ORD,558
16,LAX_ORD_JFK,8,9,1736,17,1/3/08,1/1/08,AA88,OH5366,JFK,LAX,ORD,853
