origin,uniquecarrier,averagedeparturedelay
LNY,HA,-4.503623188
BZN,9E,41.5625
BZN,CO,6.994622968
BZN,DL,5.257426229
BZN,EV,8.983679525
BZN,F9,-25
BZN,NW,2.611513953
BZN,OO,4.055379665
BZN,UA,8.981042654
BTR,9E,4.51434644
BTR,AA,3.401580699
BTR,CO,3.853995103
BTR,DL,8.208059807
BTR,EV,16.17732429
BTR,F9,16
BTR,MQ,9.424479436
BTR,NW,0.540723838
BTR,OH,11.00657174
BTR,OO,90
BTR,XE,6.490461049
MSY,9E,-0.875
MSY,AA,5.854264074
MSY,B6,10.86518171
MSY,CO,6.118361533
MSY,DH,13.98360656
MSY,DL,5.803804682
MSY,EA,6.388985507
MSY,EV,9.688370975
MSY,F9,4.464285714
MSY,FL,10.03918808
MSY,HP,2.832708529
MSY,ML (1),10.1981982
MSY,NW,2.039633396
MSY,OH,12.56776804
MSY,OO,6.536293164
MSY,PA (1),5.97824195
MSY,PI,3.646011396
MSY,TW,7.049385412
MSY,UA,7.576678254
MSY,US,5.783752813
MSY,WN,8.141239921
MSY,XE,4.213003293
MSY,YV,6.565789474
JNU,AS,11.89572995
JNU,DL,7.72835443
PSP,AA,6.651418115
PSP,AS,8.828982438
PSP,CO,3.568965517
PSP,DL,4.657838531
PSP,EV,11.2005814
PSP,HP,3.02190428
PSP,MQ,2.757790055
PSP,NW,3.721174004
PSP,OO,6.485226236
PSP,PS,13.07692308
PSP,TW,1.443637342
PSP,UA,7.389402697
PSP,US,8.987459359
PSP,XE,-0.697690217
PSP,YV,4.606523955
PHF,DL,3.962492053
PHF,EV,12.80645161
PHF,FL,9.157126878
PHF,OH,12.28229665
PHF,US,3.460156065
PHF,YV,5.083333333
FLG,HP,3.930189891
FLG,YV,4.376794017
HVN,OH,5.67265964
HVN,UA,8.350659278
RKS,OO,-2.759036145
RKS,YV,2.548309179
DFW,9E,12.59606987
DFW,AA,10.19458125
DFW,AS,8.481222151
DFW,CO,6.705893809
DFW,DL,8.137564652
DFW,EA,5.664396285
DFW,EV,8.302888252
DFW,F9,4.839170444
DFW,FL,9.309728183
DFW,HP,6.595960516
DFW,ML (1),6.038547072
DFW,MQ,9.850623141
DFW,NW,2.554953684
DFW,OH,10.09300912
DFW,OO,7.183868651
DFW,PA (1),5.804021011
DFW,PI,10.47161006
DFW,TW,4.349394133
DFW,TZ,3.212258454
DFW,UA,9.072022706
DFW,US,6.88366231
DFW,XE,5.060111836
DFW,YV,9.992549669
ILE,EV,3.240102171
ILE,MQ,-0.07859837
ILE,OO,10.07870116
ILE,XE,3.083573487
EWN,EV,12.25837321
LAN,9E,6.202574526
LAN,CO,4.444576877
LAN,DH,6.851915999
LAN,EV,13.47813195
LAN,NW,2.202548102
LAN,OH,2.954570485
LAN,OO,12.09541223
LAN,PI,4.394549763
LAN,US,2.692563818
LAN,YV,23.71727227
LIH,AA,7.028194147
LIH,AQ,-0.57176458
LIH,AS,0.261580381
LIH,DL,1.037037037
LIH,HA,-2.800648139
LIH,TZ,12.24806202
LIH,UA,3.373358706
LIH,US,3.074683544
