origin,uniquecarrier,arrivaldelay,dest
LNY,HA,-4.939393939,MKK
LNY,HA,-5,OGG
BZN,DL,12.76510067,ATL
BZN,NW,0.12610547,BIL
BZN,OO,100,BIL
BZN,DL,6.015384615,BTM
BZN,OO,118.6,BTM
BZN,OO,,COS
BZN,CO,8.918090335,DEN
BZN,F9,-28,DEN
BZN,OO,3.004175084,DEN
BZN,UA,4.289552239,DEN
BZN,NW,13.96482412,DTW
BZN,OO,,GJT
BZN,CO,5.245283019,GTF
BZN,OO,,IDA
BZN,OO,-1.363636364,LAX
BZN,OO,,MSN
BZN,CO,0.981562774,MSO
BZN,9E,50.4375,MSP
BZN,NW,2.693905116,MSP
BZN,OO,30.73918418,ORD
BZN,UA,17.72413793,ORD
BZN,OO,,PIH
BZN,OO,,RFD
BZN,OO,23.61904762,SFO
BZN,DL,5.783216349,SLC
BZN,EV,5.859050445,SLC
BZN,OO,1.321823331,SLC
BZN,OO,,TWF
BTR,EV,-9.5,AEX
BTR,DL,11.33581739,ATL
BTR,EV,17.27715566,ATL
BTR,OH,10.02185792,ATL
BTR,EV,223,AUS
BTR,DL,2.417811464,BHM
BTR,AA,-0.034720992,BNA
BTR,EV,72,CRP
BTR,EV,87.5,CSG
BTR,EV,10.86959818,CVG
BTR,EV,4.765714286,DCA
BTR,OH,12.46388443,DCA
BTR,F9,17,DEN
BTR,AA,5.693390692,DFW
BTR,DL,8.767527882,DFW
BTR,EV,10.601082,DFW
BTR,MQ,7.886330685,DFW
BTR,CO,41.66666667,EWR
BTR,XE,33.67357513,EWR
BTR,AA,50,HOU
BTR,CO,6.582825898,IAH
BTR,OH,90,IAH
BTR,XE,8.801521774,IAH
BTR,AA,19.5,JAN
BTR,DL,3.228340292,JAN
BTR,OO,101,JAN
BTR,CO,-7.229461756,LFT
BTR,EV,13.29166667,LGA
BTR,OH,13.25714286,LGA
BTR,9E,3.081109925,MEM
BTR,NW,0.524287256,MEM
BTR,DL,8.090892905,MOB
BTR,AA,5.640226629,MSY
BTR,CO,7.755102041,MSY
BTR,XE,11,MSY
BTR,MQ,17.43914807,ORD
BTR,DL,13.35159236,PNS
BTR,AA,1.303278689,SHV
MSY,AA,0,ATL
MSY,DL,7.091300663,ATL
MSY,EA,2.738678545,ATL
MSY,EV,14.33763838,ATL
MSY,FL,9.480352941,ATL
MSY,OH,12.68493151,ATL
MSY,OO,6,ATL
MSY,TW,4.029617663,ATL
MSY,EV,135.6666667,AUS
MSY,OO,,AUS
MSY,PA (1),7.826415094,AUS
MSY,UA,18,AUS
MSY,WN,0.5,AUS
MSY,XE,-4.89479638,AUS
MSY,WN,5.313668353,BHM
MSY,XE,-3.147222222,BHM
MSY,AA,1.183780866,BNA
MSY,TW,-9,BNA
MSY,WN,4.337800411,BNA
MSY,AA,0.618303571,BOS
MSY,B6,1.947674419,BOS
MSY,CO,14.33333333,BOS
MSY,OH,2,BOS
MSY,AA,3.262108262,BTR
MSY,CO,0.404255319,BTR
MSY,DL,25,BTR
MSY,PI,5.186046512,BWI
MSY,US,4.099763673,BWI
MSY,WN,-4.04680468,BWI
MSY,XE,,CAE
MSY,CO,2.779311906,CLE
MSY,XE,0.483687943,CLE
MSY,PA (1),1.218623482,CLT
MSY,PI,3.436776492,CLT
MSY,US,4.10833034,CLT
MSY,YV,8.384955752,CLT
MSY,CO,0,CMH
MSY,DL,2.722264591,CVG
MSY,EV,-16.9375,CVG
MSY,OH,-1.158959538,CVG
MSY,WN,8.363545117,DAL
MSY,CO,5.636083744,DCA
MSY,EA,8.173684211,DCA
MSY,EV,0.94214876,DCA
