origin,dest,averagedeparturedelay
LNY,MKK,-4.446886447
LNY,OGG,-9.666666667
BZN,ATL,9.470588235
BZN,BIL,-0.044458974
BZN,BTM,6.965878625
BZN,COS,-2.666666667
BZN,DEN,5.573456175
BZN,DTW,11.16080402
BZN,GJT,23.8
BZN,GTF,10.46226415
BZN,IDA,5.5
BZN,LAX,-7.272727273
BZN,MSN,-5
BZN,MSO,6.509654769
BZN,MSP,3.961160976
BZN,ORD,25.24972129
BZN,PIH,-0.833333333
BZN,RFD,-1
BZN,SFO,11.88095238
BZN,SLC,3.806510924
BZN,TWF,13.75
BTR,AEX,-1.5
BTR,ATL,13.0711173
BTR,AUS,185
BTR,BHM,3.445073079
BTR,BNA,2.103935063
BTR,CRP,-8
BTR,CSG,60.5
BTR,CVG,13.08774584
BTR,DCA,11.18898623
BTR,DEN,16
BTR,DFW,8.006754598
BTR,EWR,23.956
BTR,HOU,44
BTR,IAH,5.210336421
BTR,JAN,3.38042067
BTR,LFT,4.157001414
BTR,LGA,16.89922481
BTR,MEM,0.764385692
BTR,MOB,8.31708614
BTR,MSY,3.529540481
BTR,ORD,17.49122807
BTR,PNS,10.86149936
BTR,SHV,5.565167243
MSY,ATL,6.576374691
MSY,AUS,4.892826275
MSY,BHM,7.911330451
MSY,BNA,5.171842317
MSY,BOS,4.076923077
MSY,BTR,4.430493274
MSY,BWI,5.600610066
MSY,CAE,-5
MSY,CLE,2.720738593
MSY,CLT,4.898709608
MSY,CMH,20
MSY,CVG,2.153986372
MSY,DAL,10.16229842
MSY,DCA,3.964575256
MSY,DEN,6.533296123
MSY,DFW,7.12333107
MSY,DTW,1.692582545
MSY,EWR,11.77023499
MSY,FLL,10.01787592
MSY,GSO,7.143877551
MSY,GSP,5.116003387
MSY,HOU,7.251973764
MSY,IAD,5.975687432
MSY,IAH,4.655827975
MSY,IND,7.550670115
MSY,JAN,12.32564841
MSY,JAX,6.559928841
MSY,JFK,8.919228818
MSY,LAS,5.621236451
MSY,LAX,6.607115733
MSY,LGA,12.74069952
MSY,MCI,3.447712418
MSY,MCO,7.627601634
MSY,MDW,9.377638334
MSY,MEM,1.385924143
MSY,MIA,4.41961448
MSY,MOB,null
MSY,MSP,4.235306421
MSY,OAK,15.54751526
MSY,OKC,14
MSY,ORD,9.561063218
MSY,PHL,7.701890841
MSY,PHX,6.739675059
MSY,PIT,4.631553899
MSY,PNS,1.768140117
